,l1,age,sex,aoa,method,n_years,id,id2,group,langgroup,native,color,username,language,nativeness,usuk
4417,french,21.0,female,20.0,naturalistic,1.0,2030,french62,french,romance,False,#fdbf6f,gmu02030,french,nonnative,nonnative
4348,french,54.0,female,9.0,academic,25.0,2473,french66,french,romance,False,#fdbf6f,gmu02473,french,nonnative,nonnative
3899,french,39.0,male,12.0,academic,1.0,1729,french49,french,romance,False,#fdbf6f,gmu01729,french,nonnative,nonnative
2882,french,27.0,male,10.0,academic,0.0,1189,french35,french,romance,False,#fdbf6f,gmu01189,french,nonnative,nonnative
3859,french,60.0,male,12.0,academic,39.0,2758,french73,french,romance,False,#fdbf6f,gmu02758,french,nonnative,nonnative
4611,french,28.0,male,13.0,academic,0.0,1427,french39,french,romance,False,#fdbf6f,gmu01427,french,nonnative,nonnative
3008,french,22.0,male,10.0,academic,0.0,1643,french46,french,romance,False,#fdbf6f,gmu01643,french,nonnative,nonnative
4484,french,29.0,male,16.0,academic,29.0,2785,french77,french,romance,False,#fdbf6f,gmu02785,french,nonnative,nonnative
3511,french,38.0,male,6.0,academic,38.0,2786,french78,french,romance,False,#fdbf6f,gmu02786,french,nonnative,nonnative
3270,french,39.0,male,12.0,academic,12.0,755,french19,french,romance,False,#fdbf6f,gmu00755,french,nonnative,nonnative
4676,french,22.0,male,11.0,academic,0.2,1535,french43,french,romance,False,#fdbf6f,gmu01535,french,nonnative,nonnative
3733,french,32.0,male,12.0,academic,0.0,633,french15,french,romance,False,#fdbf6f,gmu00633,french,nonnative,nonnative
4044,german,21.0,female,12.0,academic,2.5,1092,german22,german,germanic,False,#33a02c,gmu01092,german,nonnative,nonnative
4293,german,29.0,female,12.0,academic,17.0,1707,german32,german,germanic,False,#33a02c,gmu01707,german,nonnative,nonnative
2927,german,32.0,female,8.0,academic,4.0,1681,german30,german,germanic,False,#33a02c,gmu01681,german,nonnative,nonnative
4318,german,21.0,female,10.0,academic,0.2,1685,german31,german,germanic,False,#33a02c,gmu01685,german,nonnative,nonnative
2693,german,29.0,female,14.0,academic,5.0,651,german12,german,germanic,False,#33a02c,gmu00651,german,nonnative,nonnative
4505,german,53.0,female,12.0,academic,23.0,1619,german29,german,germanic,False,#33a02c,gmu01619,german,nonnative,nonnative
3192,german,53.0,female,10.0,academic,8.0,882,german17,german,germanic,False,#33a02c,gmu00882,german,nonnative,nonnative
3564,german,30.0,female,10.0,academic,0.25,675,german14,german,germanic,False,#33a02c,gmu00675,german,nonnative,nonnative
4149,german,51.0,female,11.0,academic,31.0,1972,german35,german,germanic,False,#33a02c,gmu01972,german,nonnative,nonnative
2688,german,50.0,female,5.0,naturalistic,34.0,2591,german38,german,germanic,False,#33a02c,gmu02591,german,nonnative,nonnative
4287,german,22.0,male,5.0,academic,17.0,2833,german41,german,germanic,False,#33a02c,gmu02833,german,nonnative,nonnative
4361,german,27.0,male,10.0,academic,0.0,1383,german24,german,germanic,False,#33a02c,gmu01383,german,nonnative,nonnative
4305,german,29.0,male,6.0,academic,7.0,893,german18,german,germanic,False,#33a02c,gmu00893,german,nonnative,nonnative
2773,german,41.0,male,16.0,academic,0.5,936,german20,german,germanic,False,#33a02c,gmu00936,german,nonnative,nonnative
4579,german,28.0,male,11.0,academic,1.0,1879,german34,german,germanic,False,#33a02c,gmu01879,german,nonnative,nonnative
2904,german,39.0,male,10.0,academic,0.0,1877,german33,german,germanic,False,#33a02c,gmu01877,german,nonnative,nonnative
4423,german,24.0,male,10.0,academic,0.1,635,german10,german,germanic,False,#33a02c,gmu00635,german,nonnative,nonnative
3176,german,35.0,male,11.0,academic,8.0,676,german15,german,germanic,False,#33a02c,gmu00676,german,nonnative,nonnative
3211,german,24.0,male,11.0,academic,0.2,1255,german23,german,germanic,False,#33a02c,gmu01255,german,nonnative,nonnative
3683,german,23.0,male,10.0,academic,0.6,1494,german27,german,germanic,False,#33a02c,gmu01494,german,nonnative,nonnative
3814,polish,34.0,female,16.0,academic,11.0,1918,polish31,polish,slavic,False,#cab2d6,gmu01918,polish,nonnative,nonnative
2635,polish,48.0,female,12.0,academic,23.0,2085,polish34,polish,slavic,False,#cab2d6,gmu02085,polish,nonnative,nonnative
3641,polish,53.0,female,4.0,academic,35.0,1625,polish20,polish,slavic,False,#cab2d6,gmu01625,polish,nonnative,nonnative
4333,polish,33.0,female,13.0,academic,9.0,1453,polish17,polish,slavic,False,#cab2d6,gmu01453,polish,nonnative,nonnative
3479,polish,25.0,female,9.0,academic,0.0,1245,polish15,polish,slavic,False,#cab2d6,gmu01245,polish,nonnative,nonnative
4062,polish,22.0,female,5.0,academic,0.0,2525,polish38,polish,slavic,False,#cab2d6,gmu02525,polish,nonnative,nonnative
2625,polish,56.0,female,10.0,academic,5.0,843,polish11,polish,slavic,False,#cab2d6,gmu00843,polish,nonnative,nonnative
4158,polish,23.0,female,15.0,academic,1.0,841,polish9,polish,slavic,False,#cab2d6,gmu00841,polish,nonnative,nonnative
3699,polish,26.0,female,8.0,academic,2.0,626,polish6,polish,slavic,False,#cab2d6,gmu00626,polish,nonnative,nonnative
3339,polish,30.0,female,15.0,academic,6.0,842,polish10,polish,slavic,False,#cab2d6,gmu00842,polish,nonnative,nonnative
3325,polish,30.0,male,10.0,academic,10.0,1651,polish21,polish,slavic,False,#cab2d6,gmu01651,polish,nonnative,nonnative
3421,polish,21.0,male,6.0,academic,0.0,2189,polish35,polish,slavic,False,#cab2d6,gmu02189,polish,nonnative,nonnative
3621,polish,26.0,male,4.0,academic,2.0,2514,polish37,polish,slavic,False,#cab2d6,gmu02514,polish,nonnative,nonnative
4236,polish,42.0,male,14.0,naturalistic,2.0,2062,polish32,polish,slavic,False,#cab2d6,gmu02062,polish,nonnative,nonnative
2694,polish,54.0,male,15.0,academic,1.0,2528,polish39,polish,slavic,False,#cab2d6,gmu02528,polish,nonnative,nonnative
3019,polish,21.0,male,7.0,academic,0.0,2064,polish33,polish,slavic,False,#cab2d6,gmu02064,polish,nonnative,nonnative
3183,polish,21.0,male,8.0,academic,0.0,1653,polish23,polish,slavic,False,#cab2d6,gmu01653,polish,nonnative,nonnative
4289,polish,22.0,male,14.0,naturalistic,1.3,958,polish13,polish,slavic,False,#cab2d6,gmu00958,polish,nonnative,nonnative
4649,polish,24.0,male,7.0,academic,0.2,1549,polish19,polish,slavic,False,#cab2d6,gmu01549,polish,nonnative,nonnative
3969,polish,40.0,male,20.0,naturalistic,6.0,883,polish12,polish,slavic,False,#cab2d6,gmu00883,polish,nonnative,nonnative
2754,russian,24.0,female,4.0,academic,7.0,1924,russian42,russian,slavic,False,#6a3d9a,gmu01924,russian,nonnative,nonnative
4084,russian,27.0,female,8.0,academic,14.0,1932,russian43,russian,slavic,False,#6a3d9a,gmu01932,russian,nonnative,nonnative
4021,russian,30.0,female,5.0,academic,10.0,2224,russian49,russian,slavic,False,#6a3d9a,gmu02224,russian,nonnative,nonnative
4494,russian,26.0,female,6.0,academic,0.4,2107,russian47,russian,slavic,False,#6a3d9a,gmu02107,russian,nonnative,nonnative
3874,russian,57.0,female,42.0,academic,15.0,2231,russian50,russian,slavic,False,#6a3d9a,gmu02231,russian,nonnative,nonnative
3046,russian,36.0,female,24.0,academic,5.0,2717,russian77,russian,slavic,False,#6a3d9a,gmu02717,russian,nonnative,nonnative
4106,russian,29.0,female,6.0,academic,10.0,1947,russian44,russian,slavic,False,#6a3d9a,gmu01947,russian,nonnative,nonnative
4666,russian,24.0,female,7.0,academic,0.0,2625,russian61,russian,slavic,False,#6a3d9a,gmu02625,russian,nonnative,nonnative
3881,russian,24.0,female,7.0,academic,1.0,2105,russian46,russian,slavic,False,#6a3d9a,gmu02105,russian,nonnative,nonnative
4113,russian,32.0,female,7.0,academic,4.0,2546,russian53,russian,slavic,False,#6a3d9a,gmu02546,russian,nonnative,nonnative
3658,russian,37.0,male,18.0,academic,2.0,671,russian17,russian,slavic,False,#6a3d9a,gmu00671,russian,nonnative,nonnative
4290,russian,40.0,male,17.0,academic,0.0,2621,russian57,russian,slavic,False,#6a3d9a,gmu02621,russian,nonnative,nonnative
4544,russian,21.0,male,14.0,naturalistic,0.0,1191,russian27,russian,slavic,False,#6a3d9a,gmu01191,russian,nonnative,nonnative
3597,russian,25.0,male,20.0,academic,4.0,1518,russian36,russian,slavic,False,#6a3d9a,gmu01518,russian,nonnative,nonnative
3780,russian,31.0,male,10.0,academic,0.0,1523,russian37,russian,slavic,False,#6a3d9a,gmu01523,russian,nonnative,nonnative
4100,russian,30.0,male,10.0,academic,0.1,2635,russian70,russian,slavic,False,#6a3d9a,gmu02635,russian,nonnative,nonnative
4157,russian,33.0,male,18.0,academic,6.0,609,russian14,russian,slavic,False,#6a3d9a,gmu00609,russian,nonnative,nonnative
4101,russian,45.0,male,7.0,academic,0.0,2627,russian63,russian,slavic,False,#6a3d9a,gmu02627,russian,nonnative,nonnative
4696,russian,31.0,male,10.0,academic,0.1,2632,russian67,russian,slavic,False,#6a3d9a,gmu02632,russian,nonnative,nonnative
3841,russian,23.0,male,13.0,academic,1.0,831,russian18,russian,slavic,False,#6a3d9a,gmu00831,russian,nonnative,nonnative
3326,spanish,49.0,female,13.0,academic,0.0,2935,spanish227,spanish,romance,False,#ff7f00,gmu02935,spanish,nonnative,nonnative
4200,spanish,37.0,female,21.0,naturalistic,16.0,2052,spanish145,spanish,romance,False,#ff7f00,gmu02052,spanish,nonnative,nonnative
2888,spanish,48.0,female,17.0,naturalistic,31.0,2588,spanish202,spanish,romance,False,#ff7f00,gmu02588,spanish,nonnative,nonnative
2913,spanish,40.0,female,11.0,naturalistic,15.0,1807,spanish119,spanish,romance,False,#ff7f00,gmu01807,spanish,nonnative,nonnative
3084,spanish,32.0,female,10.0,academic,4.0,959,spanish63,spanish,romance,False,#ff7f00,gmu00959,spanish,nonnative,nonnative
3285,spanish,48.0,female,13.0,academic,22.0,1806,spanish118,spanish,romance,False,#ff7f00,gmu01806,spanish,nonnative,nonnative
3735,spanish,26.0,female,10.0,academic,16.0,1831,spanish122,spanish,romance,False,#ff7f00,gmu01831,spanish,nonnative,nonnative
3916,spanish,22.0,female,8.0,naturalistic,0.25,1732,spanish114,spanish,romance,False,#ff7f00,gmu01732,spanish,nonnative,nonnative
2464,spanish,33.0,female,23.0,naturalistic,10.0,2051,spanish144,spanish,romance,False,#ff7f00,gmu02051,spanish,nonnative,nonnative
3933,spanish,41.0,female,10.0,academic,12.0,1613,spanish105,spanish,romance,False,#ff7f00,gmu01613,spanish,nonnative,nonnative
3676,spanish,44.0,male,14.0,academic,0.0,1249,spanish74,spanish,romance,False,#ff7f00,gmu01249,spanish,nonnative,nonnative
4229,spanish,25.0,male,18.0,naturalistic,7.0,2057,spanish146,spanish,romance,False,#ff7f00,gmu02057,spanish,nonnative,nonnative
3760,spanish,45.0,male,6.0,academic,12.5,2026,spanish143,spanish,romance,False,#ff7f00,gmu02026,spanish,nonnative,nonnative
3934,spanish,21.0,male,6.0,academic,0.0,731,spanish48,spanish,romance,False,#ff7f00,gmu00731,spanish,nonnative,nonnative
4366,spanish,21.0,male,8.0,academic,0.8,2602,spanish204,spanish,romance,False,#ff7f00,gmu02602,spanish,nonnative,nonnative
3782,spanish,22.0,male,13.0,academic,9.0,1425,spanish89,spanish,romance,False,#ff7f00,gmu01425,spanish,nonnative,nonnative
3836,spanish,28.0,male,5.0,naturalistic,5.0,2169,spanish162,spanish,romance,False,#ff7f00,gmu02169,spanish,nonnative,nonnative
3972,spanish,45.0,male,13.0,academic,2.0,1301,spanish77,spanish,romance,False,#ff7f00,gmu01301,spanish,nonnative,nonnative
4272,spanish,46.0,male,12.0,academic,13.0,1797,spanish117,spanish,romance,False,#ff7f00,gmu01797,spanish,nonnative,nonnative
4244,spanish,22.0,male,8.0,academic,0.0,838,spanish56,spanish,romance,False,#ff7f00,gmu00838,spanish,nonnative,nonnative
