,participant_id,age,Country of Birth,Current Country of Residence,English speaking Monolingual,First Language,Sex,l1,group,sex,langgroup,nativeness,index,emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7,sequence_weight
5164,60a10e1de3ee3737f08a517c,23,Belgium,Belgium,,French,Female,french,french,female,romance,nonnative,29,0.5153076648712158,0.4105420708656311,0.5296755433082581,0.4989739954471588,0.47762826085090637,0.5000152587890625,0.4998838007450104,0.4999992847442627,0.82207245
5166,60cb146b583ee0d79a7e80cc,18,France,France,,French,Male,french,french,male,romance,nonnative,30,0.5017647743225098,0.4259607195854187,0.5129460096359253,0.4986836016178131,0.46035030484199524,0.5000964403152466,0.5001204013824463,0.49996185302734375,0.75529766
5167,601efedca5824c3e2767c892,24,France,France,,French,Female,french,french,female,romance,nonnative,31,0.7525231838226318,0.5082122087478638,0.46130144596099854,0.49694862961769104,0.5055264830589294,0.49991318583488464,0.4999552369117737,0.49988022446632385,0.86495227
5169,60c9019448ea85dc9d85dbdc,21,France,France,,French,Female,french,french,female,romance,nonnative,32,0.6238215565681458,0.47153910994529724,0.408077210187912,0.4748890995979309,0.49955883622169495,0.5000470876693726,0.4999666213989258,0.4999427795410156,0.6566897
5170,5e70e14f8cd169064e5781e9,20,France,France,,French,Male,french,french,male,romance,nonnative,33,0.4362131357192993,0.43860989809036255,0.42713335156440735,0.5426837801933289,0.5208634734153748,0.5000609159469604,0.5001275539398193,0.5001178979873657,0.81821364
5189,6001bef6297b5c0f7f6d089b,20,France,France,,French,Male,french,french,male,romance,nonnative,34,0.28869664669036865,0.34224164485931396,0.23451381921768188,0.5435304641723633,0.32619747519493103,0.4999089539051056,0.49991482496261597,0.500052809715271,0.58767605
5191,60db302f9c0d570c7f2e7653,18,France,France,,French,Female,french,french,female,romance,nonnative,35,0.5469703674316406,0.49802568554878235,0.5029789805412292,0.40167516469955444,0.5942922234535217,0.5000376105308533,0.5000134706497192,0.5000470280647278,0.7709943
5192,606601c0d781efb83ac2dce4,30,France,France,,French,Male,french,french,male,romance,nonnative,36,0.624980628490448,0.49950292706489563,0.5022541880607605,0.49956014752388,0.5004473924636841,0.4998885691165924,0.5000343918800354,0.49988535046577454,0.8172325
5233,61070401a557fd863bd0ac26,18,France,France,,French,Male,french,french,male,romance,nonnative,37,0.33939436078071594,0.374772846698761,0.22079898416996002,0.49636703729629517,0.499650776386261,0.4999185800552368,0.49997270107269287,0.49987438321113586,0.76724887
5237,61090783a01b97fbe95024dc,21,France,France,,French,Female,french,french,female,romance,nonnative,38,0.5005694031715393,0.4514874517917633,0.5008290410041809,0.49983859062194824,0.5131984949111938,0.5002349615097046,0.5001417994499207,0.5001436471939087,0.8405067
