,csvfile_items,csvfile_raters,csvfile_triplets,seed,batch_size,reg_type,max_iter,lr,test_rater,max_workers,verbose,device,num_dims,fit_items,fit_raters,fit_sequence,force_positive,distance,config_path,output_folder,state_dict_path,valid_loss,valid_accuracy,test_loss,test_accuracy,lambda_item,lambda_rater,fold,variables_item,variables_rater,time,train_accuracy,train_loss
20,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_20.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,0.0,0.01,5_0,,,831.1377210617065,0.6169590643274854,0.8747157025755498
21,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_21.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,0.003162,0.01,5_0,,,324.2566077709198,0.6169590643274854,0.8747157025755498
22,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_22.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,0.01,0.01,5_0,,,323.68640518188477,0.6169590643274854,0.8747157025755498
23,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_23.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,0.03162,0.01,5_0,,,823.230795621872,0.6169590643274854,0.8747157025755498
24,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_24.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,0.1,0.01,5_0,,,248.32091403007507,0.6169590643274854,0.8747157025755498
25,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_25.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,0.3162,0.01,5_0,,,875.0441496372223,0.6169590643274854,0.8747157025755498
26,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_26.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,1.0,0.01,5_0,,,314.62861371040344,0.6169590643274854,0.8747157025755498
27,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_27.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,3.162,0.01,5_0,,,817.838520526886,0.6169590643274854,0.8747157025755498
28,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_28.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,10.0,0.01,5_0,,,247.42062282562256,0.6169590643274854,0.8747157025755498
29,data/triplets3ab_speakers.csv,data/triplets3ab_listeners.csv,data/triplets3ab_triplets.csv,123456,128,1,100,0.1,,300,False,cpu,8,True,True,True,softplus,dotproduct,configs/triplets3ab_crossval_categorical_4.cfg,configs/triplets3ab_crossval_categorical_4,configs/triplets3ab_crossval_categorical_4/model_state_0_0_0_0_29.pth,0.8836187636643126,0.6130756578947368,0.887815581079115,0.6145833333333334,31.62,0.01,5_0,,,855.8670818805695,0.6169590643274854,0.8747157025755498
